"","Status","Sex","Province","Area","Date.of.death","Cause.of.death","Province2"
"9330"," Civilian"," Adult - Male"," Daraa"," Busr al-Harir",2012-08-05," Shelling","Dar`a"
"9331"," Civilian"," Adult - Male"," Idlib"," Idleb the City",2012-08-05," Shooting","Idlib"
"9332"," Civilian"," Adult - Male"," Idlib"," Ariha",2012-08-05," Shelling","Idlib"
"9333"," Civilian"," Adult - Male"," Daraa"," Nahteh",2012-08-05," Shooting","Dar`a"
"9334"," Civilian"," Adult - Male"," Aleppo"," Masaken Hananou",2012-08-05," Shelling","Aleppo"
"9335"," Civilian"," Child - Male"," Aleppo"," Sha'ar  Neighborhood",2012-08-05," Shelling","Aleppo"
"9336"," Civilian"," Adult - Male"," Hama"," Salamia",2012-08-04," Shooting","Hamah"
"9337"," Non-Civilian"," Adult - Male"," Damascus"," Dommar",2012-08-04," Shelling","Damascus"
"9338"," Civilian"," Adult - Female"," Damascus"," Jobar",2012-08-04," Shelling","Damascus"
"9339"," Civilian"," Adult - Male"," Homs"," Talbiseh: Sa'an",2012-08-04," Shooting","Hims"
"9340"," Civilian"," Child - Male"," Deir Ezzor"," Hamidiah",2012-08-04," Shelling","Dayr Az Zawr"
"9341"," Civilian"," Adult - Male"," Daraa"," Taseel",2012-08-04," Shooting","Dar`a"
"9342"," Non-Civilian"," Adult - Male"," Deir Ezzor"," Mohasan",2012-08-04," Shelling","Dayr Az Zawr"
"9343"," Non-Civilian"," Adult - Male"," Aleppo"," Karam Jabal",2012-08-04," Shooting","Aleppo"
"9344"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Erbeen",2012-08-04," Shelling","Rif Dimashq"
"9345"," Civilian"," Adult - Male"," Aleppo"," Jisr Neirab",2012-08-04," Warplane shelling","Aleppo"
"9346"," Civilian"," Adult - Female"," Lattakia"," Dwerka",2012-08-04," Shelling","Lattakia"
"9347"," Civilian"," Adult - Female"," Homs"," Qusair",2012-08-04," Shooting","Hims"
"9348"," Non-Civilian"," Adult - Male"," Aleppo"," Ebeen",2012-08-04," Shooting","Aleppo"
"9349"," Civilian"," Adult - Male"," Damascus Suburbs"," Harasta",2012-08-04," Shelling","Rif Dimashq"
"9350"," Civilian"," Adult - Male"," Damascus Suburbs"," Harasta",2012-08-04," Shelling","Rif Dimashq"
"9351"," Non-Civilian"," Adult - Male"," Hasakeh"," Ghweran",2012-08-04," Shooting","Al <U+1E24>asakah"
"9352"," Civilian"," Adult - Male"," Damascus Suburbs"," Douma",2012-08-04," Field Execution","Rif Dimashq"
"9353"," Civilian"," Adult - Male"," Damascus Suburbs"," Harasta",2012-08-04," Shelling","Rif Dimashq"
"9354"," Civilian"," Adult - Male"," Damascus Suburbs"," Harasta",2012-08-04," Shelling","Rif Dimashq"
"9355"," Civilian"," Adult - Female"," Deir Ezzor"," sweieah",2012-08-04," Shelling","Dayr Az Zawr"
"9356"," Civilian"," Adult - Female"," Deir Ezzor"," sweieah",2012-08-04," Shelling","Dayr Az Zawr"
"9357"," Civilian"," Adult - Male"," Damascus Suburbs"," Harasta",2012-08-04," Shelling","Rif Dimashq"
"9358"," Civilian"," Adult - Male"," Hama"," Hilfaya",2012-08-04," Shooting","Hamah"
"9359"," Civilian"," Adult - Male"," Hama"," Hilfaya",2012-08-04," Shooting","Hamah"
"9360"," Civilian"," Adult - Male"," Hama"," Hilfaya",2012-08-04," Shooting","Hamah"
"9361"," Civilian"," Adult - Male"," Hama"," Zur al-Hisa",2012-08-04," Shooting","Hamah"
"9362"," Civilian"," Adult - Male"," Deir Ezzor"," Bokamal",2012-08-06," Shelling","Dayr Az Zawr"
"9363"," Civilian"," Adult - Male"," Damascus Suburbs"," Harasta",2012-08-06," Shelling","Rif Dimashq"
"9364"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Haran Al-Awameed",2012-08-06," Shooting","Rif Dimashq"
"9365"," Civilian"," Adult - Male"," Damascus Suburbs"," Saqba",2012-08-06," Shelling","Rif Dimashq"
"9366"," Non-Civilian"," Adult - Male"," Damascus Suburbs"," Haran Al-Awameed",2012-08-06," Shooting","Rif Dimashq"
"9367"," Non-Civilian"," Adult - Male"," Daraa"," Dael",2012-08-06," Field Execution","Dar`a"
